time,temperature_K
0.000000000000000000e+00,2.880000000000000000e+02
4.008016032064128376e-01,2.879999998477911731e+02
8.016032064128256751e-01,2.879999996955823462e+02
1.202404809619238568e+00,2.879999995433735194e+02
1.603206412825651350e+00,2.879999993911647493e+02
2.004008016032064354e+00,2.879999992389559225e+02
2.404809619238477136e+00,2.879999990867470956e+02
2.805611222444889918e+00,2.879999989345383256e+02
3.206412825651302700e+00,2.879999987823294987e+02
3.607214428857715482e+00,2.879999986301207286e+02
4.008016032064128709e+00,2.879999984779119018e+02
4.408817635270541047e+00,2.879999983257030749e+02
4.809619238476954273e+00,2.879999981734943049e+02
5.210420841683366611e+00,2.879999980212854780e+02
5.611222444889779837e+00,2.879999978690767080e+02
6.012024048096192175e+00,2.879999977168678811e+02
6.412825651302605401e+00,2.879999975646591110e+02
6.813627254509018627e+00,2.879999974124502842e+02
7.214428857715430965e+00,2.879999972602415141e+02
7.615230460921844191e+00,2.879999971080326873e+02
8.016032064128257417e+00,2.879999969558239172e+02
8.416833667334669755e+00,2.879999968036150904e+02
8.817635270541082093e+00,2.879999966514063203e+02
9.218436873747494431e+00,2.879999964991974934e+02
9.619238476953908545e+00,2.879999963469887234e+02
1.002004008016032088e+01,2.879999961947799534e+02
1.042084168336673322e+01,2.879999960425711265e+02
1.082164328657314734e+01,2.879999958903623565e+02
1.122244488977955967e+01,2.879999957381535296e+02
1.162324649298597201e+01,2.879999955859447596e+02
1.202404809619238435e+01,2.879999954337359895e+02
1.242484969939879846e+01,2.879999952815271627e+02
1.282565130260521080e+01,2.879999951293183926e+02
1.322645290581162314e+01,2.879999949771096226e+02
1.362725450901803725e+01,2.879999948249008526e+02
1.402805611222444959e+01,2.879999946726920257e+02
1.442885771543086193e+01,2.879999945204832557e+02
1.482965931863727427e+01,2.879999943682744856e+02
1.523046092184368838e+01,2.879999942160657156e+02
1.563126252505010072e+01,2.879999940638568887e+02
1.603206412825651483e+01,2.879999939116481187e+02
1.643286573146292540e+01,2.879999937594393487e+02
1.683366733466933951e+01,2.879999936072305786e+02
1.723446893787575362e+01,2.879999934550218086e+02
1.763527054108216419e+01,2.879999933028130386e+02
1.803607214428857830e+01,2.879999931506042685e+02
1.843687374749498886e+01,2.879999929983954985e+02
1.883767535070140298e+01,2.879999928461867285e+02
1.923847695390781709e+01,2.879999926939779016e+02
1.963927855711422765e+01,2.879999925417691315e+02
2.004008016032064177e+01,2.879999923895603615e+02
2.044088176352705588e+01,2.879999922373515915e+02
2.084168336673346644e+01,2.879999920851428215e+02
