t,S,I,R
0.000000000000000000e+00,9.999000000000000000e+05,1.000000000000000000e+02,0.000000000000000000e+00
4.010025062656641381e-01,9.998874757349019637e+05,1.083490663782523882e+02,4.175198719724725116e+00
8.020050125313282763e-01,9.998739060135283507e+05,1.173950075649044607e+02,8.698978906749449180e+00
1.203007518796992414e+00,9.998592036579551641e+05,1.271959239132083610e+02,1.360041813159200075e+01
1.604010025062656553e+00,9.998432740306811174e+05,1.378148853295551532e+02,1.891108398931907786e+01
2.005012531328320691e+00,9.998260115538723767e+05,1.493222428225199963e+02,2.466620330513116599e+01
2.406015037593984829e+00,9.998073078232575208e+05,1.617902401834559498e+02,3.090193655900603886e+01
2.807017543859648967e+00,9.997870466309112962e+05,1.752963238273819115e+02,3.765704526138411978e+01
3.208020050125313105e+00,9.997650987399677979e+05,1.899266140472747963e+02,4.497464598495990629e+01
3.609022556390977243e+00,9.997413218846212840e+05,2.057759050140695649e+02,5.290221036468200566e+01
4.010025062656641381e+00,9.997155607701255940e+05,2.229476647766590816e+02,6.149156509775308166e+01
4.411027568922305520e+00,9.996876470727944979e+05,2.415540352618942279e+02,7.079889194362988292e+01
4.812030075187969658e+00,9.996573994400014635e+05,2.617158322745838177e+02,8.088472772402330691e+01
5.213032581453633796e+00,9.996246234901796561e+05,2.835625454974949093e+02,9.181396432289830045e+01
5.614035087719297934e+00,9.995891118128221715e+05,3.072323384913521522e+02,1.036558486864738740e+02
6.015037593984962072e+00,9.995506418555539567e+05,3.328734422202695100e+02,1.164847022257364983e+02
6.416040100250626210e+00,9.995089439524691552e+05,3.606652607902863110e+02,1.303907867405117713e+02
6.817042606516290348e+00,9.994637668036840623e+05,3.907752453087047115e+02,1.454579510072581172e+02
7.218045112781954487e+00,9.994148431321507087e+05,4.233815416306006796e+02,1.617753262186294592e+02
7.619047619047618625e+00,9.993618698425287148e+05,4.586860726456652628e+02,1.794440848256024594e+02
8.020050125313282763e+00,9.993045080211842433e+05,4.969145382782047591e+02,1.985774405374765195e+02
8.421052631578946901e+00,9.992423829361909302e+05,5.383164154871408300e+02,2.193006483218739504e+02
8.822055137844611039e+00,9.991750840373291867e+05,5.831649582660102169e+02,2.417510044047396889e+02
9.223057644110275177e+00,9.991021649560866645e+05,6.317571976429650249e+02,2.660778462703415812e+02
9.624060150375939315e+00,9.990231435056579066e+05,6.844139416807724956e+02,2.924425526612702697e+02
1.002506265664160345e+01,9.989375016809446970e+05,7.414797754768151208e+02,3.210185435784392212e+02
1.042606516290726759e+01,9.988446856585558271e+05,8.033230611630904150e+02,3.519912802810844141e+02
1.082706766917293173e+01,9.987441057968069799e+05,8.703359379062118251e+02,3.855582652867650495e+02
1.122807017543859587e+01,9.986351366357211955e+05,9.429343219074072522e+02,4.219290423713625842e+02
1.162907268170426001e+01,9.985171168970284052e+05,1.021557906402520189e+03,4.613251965690819816e+02
1.203007518796992414e+01,9.983893361570343841e+05,1.106678700386642731e+03,5.039851425790144503e+02
1.243107769423558828e+01,9.982508589163077995e+05,1.198914337247313824e+03,5.502267464448759711e+02
1.283208020050125242e+01,9.981008641438703053e+05,1.298811733312448268e+03,6.003241228172003048e+02
1.323308270676691656e+01,9.979384970302028814e+05,1.406941416581891190e+03,6.545615532152285141e+02
1.363408521303258070e+01,9.977627804364743643e+05,1.523954125781498533e+03,7.132654377441022007e+02
1.403508771929824483e+01,9.975726148945420282e+05,1.650580810363135470e+03,7.768042950948620273e+02
1.443609022556390897e+01,9.973667786069508875e+05,1.787632630504677763e+03,8.455887625444494233e+02
1.483709273182957311e+01,9.971439274469342781e+05,1.936000957110011996e+03,9.200715959557051065e+02
1.523809523809523725e+01,9.969025949584136251e+05,2.096657371809033975e+03,1.000747669777370220e+03
1.563909774436090139e+01,9.966411923559982097e+05,2.270653666957649421e+03,1.088153977044085877e+03
1.604010025062656553e+01,9.963580085249858676e+05,2.459121845637776005e+03,1.182869629376392368e+03
1.644110275689222789e+01,9.960512100213619415e+05,2.663274121657338583e+03,1.285515856980730177e+03
1.684210526315789380e+01,9.957188410718002124e+05,2.884402919550276238e+03,1.396756008649441355e+03
1.724310776942355972e+01,9.953588235736626666e+05,3.123880874576536371e+03,1.517295551760766557e+03
1.764411027568922208e+01,9.949689570949990302e+05,3.383160832722071518e+03,1.647882072278843680e+03
1.804511278195488444e+01,9.945469188745474676e+05,3.663775850698851627e+03,1.789305274753715366e+03
1.844611528822055035e+01,9.940902638217337662e+05,3.967339195944856328e+03,1.942396982321322866e+03
1.884711779448621627e+01,9.935964036591113545e+05,4.295554849052952704e+03,2.108041491835649140e+03
1.924812030075187863e+01,9.930620422334108735e+05,4.650518152377858314e+03,2.287439614211251865e+03
1.964912280701754099e+01,9.924839793704521144e+05,5.034347900200060394e+03,2.481672729347786117e+03
2.005012531328320691e+01,9.918589186489644926e+05,5.449259868343146081e+03,2.691821482692306745e+03
2.045112781954887282e+01,9.911831732129397569e+05,5.897709371144401302e+03,2.919117415915844049e+03
2.085213032581453518e+01,9.904526657716317568e+05,6.382391261454809865e+03,3.164942966913407872e+03
2.125313283208019755e+01,9.896629285995569080e+05,6.906239930639066188e+03,3.430831469803988512e+03
2.165413533834586346e+01,9.888091035364938434e+05,7.472429308575569848e+03,3.718467154930559445e+03
2.205513784461152937e+01,9.878859419874835294e+05,8.084372863656410118e+03,4.029685148860067784e+03
